Name,Position,Projection,Team
Jalen Hurts,QB,21.8,PHI
Lamar Jackson,QB,21.7,BAL
Josh Allen,QB,20.9,BUF
Jayden Daniels,QB,20.4,WAS
Patrick Mahomes II,QB,19.8,KC
Justin Herbert,QB,19.2,LAC
Joe Burrow,QB,18.9,CIN
Baker Mayfield,QB,18.6,TB
Bo Nix,QB,18.4,DEN
C.J. Stroud,QB,18.2,HOU
Anthony Richardson,QB,18.0,IND
Kyler Murray,QB,17.7,ARI
Sam Darnold,QB,17.5,MIN
Matthew Stafford,QB,17.3,LAR
Jared Goff,QB,17.0,DET
Jordan Love,QB,16.8,GB
Drake Maye,QB,16.5,NE
Tua Tagovailoa,QB,16.2,MIA
Caleb Williams,QB,16.0,CHI
Geno Smith,QB,15.8,SEA
Russell Wilson,QB,15.6,PIT
Kirk Cousins,QB,15.5,ATL
Brock Purdy,QB,15.2,SF
Derek Carr,QB,15.3,NO
Will Levis,QB,15.1,TEN
Trevor Lawrence,QB,14.9,JAC
Jameis Winston,QB,14.7,CLE
Bryce Young,QB,14.4,CAR
Aaron Rodgers,QB,14.2,NYJ
Cooper Rush,QB,13.7,DAL
Drew Lock,QB,13.3,NYG
Aidan O'Connell,QB,12.4,LV
Brandon Allen,QB,0.8,SF
Justin Fields,QB,0.2,PIT
Desmond Ridder,QB,0.2,LV
Mac Jones,QB,0.5,JAC
Trey Lance,QB,0.2,DAL
Tyrod Taylor,QB,0.2,NYJ
Dorian Thompson-Robinson,QB,0.1,CLE
Clayton Tune,QB,0.1,ARI
Joe Mixon,RB,19.2,HOU
Saquon Barkley,RB,17.8,PHI
Alvin Kamara,RB,17.7,NO
Bijan Robinson,RB,17.6,ATL
Jahmyr Gibbs,RB,16.9,DET
Christian McCaffrey,RB,16.3,SF
De'Von Achane,RB,16.0,MIA
Derrick Henry,RB,15.9,BAL
Kyren Williams,RB,15.7,LAR
Chase Brown,RB,15.6,CIN
Josh Jacobs,RB,15.5,GB
Jonathan Taylor,RB,15.4,IND
Kenneth Walker III,RB,14.8,SEA
Breece Hall,RB,14.8,NYJ
Chuba Hubbard,RB,13.9,CAR
Bucky Irving,RB,13.9,TB
Aaron Jones,RB,13.7,MIN
James Cook,RB,13.9,BUF
David Montgomery,RB,13.7,DET
Rico Dowdle,RB,13.5,DAL
Tony Pollard,RB,13.2,TEN
James Conner,RB,12.7,ARI
Tyrone Tracy Jr.,RB,12.7,NYG
Rhamondre Stevenson,RB,12.4,NE
Najee Harris,RB,12.0,PIT
D'Andre Swift,RB,11.6,CHI
Rachaad White,RB,11.5,TB
Nick Chubb,RB,10.6,CLE
Brian Robinson Jr.,RB,9.5,WAS
Isiah Pacheco,RB,10.0,KC
Kareem Hunt,RB,9.8,KC
Jaylen Warren,RB,9.7,PIT
Gus Edwards,RB,9.7,LAC
Travis Etienne Jr.,RB,9.1,JAC
Ameer Abdullah,RB,8.8,LV
Javonte Williams,RB,8.3,DEN
Tank Bigsby,RB,6.6,JAC
Justice Hill,RB,6.2,BAL
Jeremy McNichols,RB,6.2,WAS
Tyler Allgeier,RB,5.5,ATL
Jerome Ford,RB,5.4,CLE
Devin Singletary,RB,5.2,NYG
Braelon Allen,RB,5.2,NYJ
Zach Charbonnet,RB,5.1,SEA
Roschon Johnson,RB,5.0,CHI
Tyjae Spears,RB,5.0,TEN
Cam Akers,RB,4.9,MIN
Antonio Gibson,RB,4.4,NE
Ray Davis,RB,4.4,BUF
Jaleel McLaughlin,RB,4.3,DEN
Audric Estime,RB,4.3,DEN
Kimani Vidal,RB,4.2,LAC
Jaylen Wright,RB,4.3,MIA
Trey Benson,RB,4.2,ARI
Emanuel Wilson,RB,4.1,GB
Raheem Mostert,RB,3.8,MIA
Kenneth Gainwell,RB,3.5,PHI
Sean Tucker,RB,3.4,TB
Jonathon Brooks,RB,3.3,CAR
Blake Corum,RB,3.3,LAR
Chris Brooks,RB,3.3,GB
Ezekiel Elliott,RB,3.2,DAL
Hassan Haskins,RB,3.1,LAC
Jordan Mason,RB,2.7,SF
Sincere McCormick,RB,2.6,LV
Samaje Perine,RB,2.5,KC
Dare Ogunbowale,RB,2.2,HOU
Emari Demercado,RB,2.1,ARI
JaMycal Hasty,RB,2.1,NE
Khalil Herbert,RB,2.0,CIN
Cordarrelle Patterson,RB,1.9,PIT
Ty Johnson,RB,1.9,BUF
Jamaal Williams,RB,1.9,NO
Dameon Pierce,RB,1.5,HOU
Trey Sermon,RB,1.4,IND
Chris Rodriguez Jr.,RB,1.5,WAS
Keaton Mitchell,RB,1.4,BAL
Kyle Juszczyk,RB,1.1,SF
Julius Chestnut,RB,1.3,TEN
Hunter Luepke,RB,1.1,DAL
Carson Steele,RB,0.9,KC
Jordan Mims,RB,0.9,NO
Eric Gray,RB,0.8,NYG
Craig Reynolds,RB,0.8,DET
Tyler Goodson,RB,0.7,IND
Pierre Strong Jr.,RB,0.6,CLE
Dylan Laube,RB,0.7,LV
Ty Chandler,RB,0.6,MIN
Michael Burton,RB,0.5,DEN
Isaac Guerendo,RB,0.6,SF
Patrick Ricard,RB,0.5,BAL
Alec Ingold,RB,0.5,MIA
Will Shipley,RB,0.4,PHI
C.J. Ham,RB,0.3,MIN
Adam Prentice,RB,0.3,NO
Sione Vaki,RB,0.1,DET
Raheem Blackshear,RB,0.0,CAR
Keilan Robinson,RB,0.1,JAC
J.J. Taylor,RB,0.2,HOU
Travis Homer,RB,0.1,CHI
Ronnie Rivers,RB,0.0,LAR
Kenny McIntosh,RB,0.0,SEA
Isaiah Davis,RB,0.0,NYJ
Reggie Gilliam,RB,0.0,BUF
Dalvin Cook,RB,0.0,DAL
DeeJay Dallas,RB,0.0,ARI
Kene Nwangwu,RB,0.0,NYJ
Trayveon Williams,RB,0.0,CIN
Terrell Jennings,RB,0.0,NE
Tyreik McAllister,RB,0.0,LV
Avery Williams,RB,0.0,ATL
Blake Watson,RB,0.0,DEN
Jeff Wilson Jr.,RB,0.0,MIA
Ja'Marr Chase,WR,15.9,CIN
A.J. Brown,WR,14.9,PHI
Nico Collins,WR,14.8,HOU
Puka Nacua,WR,14.8,LAR
Justin Jefferson,WR,14.7,MIN
Cooper Kupp,WR,14.3,LAR
Amon-Ra St. Brown,WR,13.8,DET
CeeDee Lamb,WR,13.5,DAL
Mike Evans,WR,13.4,TB
George Pickens,WR,13.1,PIT
Tee Higgins,WR,12.7,CIN
Courtland Sutton,WR,12.5,DEN
Drake London,WR,12.4,ATL
Malik Nabers,WR,12.2,NYG
Tyreek Hill,WR,12.1,MIA
Ladd McConkey,WR,12.1,LAC
Garrett Wilson,WR,12.0,NYJ
Calvin Ridley,WR,11.7,TEN
Davante Adams,WR,11.6,NYJ
Zay Flowers,WR,11.5,BAL
Terry McLaurin,WR,11.5,WAS
Jaxon Smith-Njigba,WR,11.3,SEA
DK Metcalf,WR,11.1,SEA
Jayden Reed,WR,10.9,GB
Brian Thomas Jr.,WR,10.8,JAC
DJ Moore,WR,10.5,CHI
Marvin Harrison Jr.,WR,10.5,ARI
Khalil Shakir,WR,10.3,BUF
Jakobi Meyers,WR,10.4,LV
Tank Dell,WR,10.3,HOU
Darnell Mooney,WR,10.2,ATL
Jameson Williams,WR,10.1,DET
Keenan Allen,WR,10.0,CHI
Jauan Jennings,WR,9.8,SF
Deebo Samuel Sr.,WR,9.7,SF
Jordan Addison,WR,9.7,MIN
Jaylen Waddle,WR,9.6,MIA
Jerry Jeudy,WR,9.6,CLE
Michael Pittman Jr.,WR,9.6,IND
DeAndre Hopkins,WR,9.5,KC
Rome Odunze,WR,9.1,CHI
Christian Watson,WR,8.9,GB
Xavier Legette,WR,8.8,CAR
Amari Cooper,WR,8.5,BUF
Xavier Worthy,WR,8.4,KC
Quentin Johnston,WR,8.4,LAC
Noah Brown,WR,8.2,WAS
Elijah Moore,WR,8.1,CLE
DeMario Douglas,WR,8.1,NE
