Name,Position,Projection,Team
Jalen Hurts,QB,22.3,PHI
Lamar Jackson,QB,21.6,BAL
Josh Allen,QB,20.8,BUF
Brock Purdy,QB,20.1,SF
Jayden Daniels,QB,19.3,WAS
Joe Burrow,QB,18.7,CIN
Justin Herbert,QB,18.2,LAC
Bo Nix,QB,17.8,DEN
Jared Goff,QB,17.3,DET
Patrick Mahomes II,QB,17.1,KC
Russell Wilson,QB,16.8,PIT
C.J. Stroud,QB,16.6,HOU
Jordan Love,QB,16.4,GB
Geno Smith,QB,16.4,SEA
Tua Tagovailoa,QB,16.2,MIA
Jameis Winston,QB,16.1,CLE
Drake Maye,QB,15.9,NE
Sam Darnold,QB,15.7,MIN
Matthew Stafford,QB,15.4,LAR
Aaron Rodgers,QB,15.2,NYJ
Anthony Richardson,QB,15.0,IND
Kirk Cousins,QB,14.7,ATL
Derek Carr,QB,14.2,NO
Caleb Williams,QB,13.7,CHI
Will Levis,QB,13.2,TEN
Gardner Minshew II,QB,12.5,LV
Mac Jones,QB,11.9,JAC
Cooper Rush,QB,11.2,DAL
Trey Lance,QB,0.3,DAL
Joe Flacco,QB,0.2,IND
Desmond Ridder,QB,0.2,LV
Mason Rudolph,QB,0.1,TEN
Justin Fields,QB,0.1,PIT
Jacoby Brissett,QB,0.1,NE
Malik Willis,QB,0.1,GB
Christian McCaffrey,RB,19.4,SF
Saquon Barkley,RB,18.9,PHI
Joe Mixon,RB,18.2,HOU
De'Von Achane,RB,17.0,MIA
Alvin Kamara,RB,16.6,NO
Bijan Robinson,RB,16.2,ATL
Kyren Williams,RB,16.2,LAR
Derrick Henry,RB,16.2,BAL
Jahmyr Gibbs,RB,16.1,DET
Breece Hall,RB,16.0,NYJ
Jonathan Taylor,RB,15.7,IND
Chase Brown,RB,15.0,CIN
Kenneth Walker III,RB,14.5,SEA
Josh Jacobs,RB,14.0,GB
David Montgomery,RB,14.0,DET
Kareem Hunt,RB,13.8,KC
Aaron Jones,RB,13.8,MIN
James Cook,RB,13.6,BUF
J.K. Dobbins,RB,13.4,LAC
D'Andre Swift,RB,13.3,CHI
Nick Chubb,RB,12.2,CLE
Rhamondre Stevenson,RB,12.1,NE
Tony Pollard,RB,11.6,TEN
Travis Etienne Jr.,RB,11.4,JAC
Najee Harris,RB,11.0,PIT
Rico Dowdle,RB,10.9,DAL
Brian Robinson Jr.,RB,10.3,WAS
Audric Estime,RB,10.1,DEN
Austin Ekeler,RB,8.9,WAS
Alexander Mattison,RB,8.3,LV
Jaylen Warren,RB,8.3,PIT
Tyjae Spears,RB,6.7,TEN
Tyler Allgeier,RB,6.3,ATL
Gus Edwards,RB,6.2,LAC
Javonte Williams,RB,5.9,DEN
Raheem Mostert,RB,5.0,MIA
Braelon Allen,RB,5.0,NYJ
Justice Hill,RB,4.8,BAL
Jaylen Wright,RB,4.7,MIA
Zach Charbonnet,RB,4.6,SEA
Cam Akers,RB,4.4,MIN
Jerome Ford,RB,4.4,CLE
Roschon Johnson,RB,4.3,CHI
Ray Davis,RB,4.2,BUF
Zamir White,RB,4.2,LV
Samaje Perine,RB,4.0,KC
Emanuel Wilson,RB,3.8,GB
Kenneth Gainwell,RB,3.8,PHI
Jaleel McLaughlin,RB,3.7,DEN
D'Ernest Johnson,RB,3.4,JAC
Ezekiel Elliott,RB,3.4,DAL
Blake Corum,RB,3.1,LAR
Antonio Gibson,RB,3.1,NE
Ty Johnson,RB,3.0,BUF
Jordan Mason,RB,3.0,SF
Khalil Herbert,RB,2.8,CIN
Dare Ogunbowale,RB,2.6,HOU
JaMycal Hasty,RB,2.3,NE
Jordan Mims,RB,2.3,NO
Cordarrelle Patterson,RB,2.1,PIT
Chris Brooks,RB,2.1,GB
Trey Sermon,RB,2.0,IND
Jeremy McNichols,RB,1.9,WAS
Ameer Abdullah,RB,1.7,LV
Tyler Goodson,RB,1.6,IND
Keaton Mitchell,RB,1.6,BAL
Carson Steele,RB,1.4,KC
Kyle Juszczyk,RB,1.4,SF
Isaac Guerendo,RB,1.3,SF
Dameon Pierce,RB,1.3,HOU
Ty Chandler,RB,1.1,MIN
Pierre Strong Jr.,RB,1.0,CLE
Hunter Luepke,RB,0.8,DAL
Hassan Haskins,RB,0.8,LAC
Alec Ingold,RB,0.8,MIA
Will Shipley,RB,0.5,PHI
D'Onta Foreman,RB,0.5,CLE
Patrick Ricard,RB,0.5,BAL
Dalvin Cook,RB,0.4,DAL
Craig Reynolds,RB,0.3,DET
Julius Chestnut,RB,0.3,TEN
Trayveon Williams,RB,0.3,CIN
C.J. Ham,RB,0.2,MIN
Adam Prentice,RB,0.2,NO
Michael Burton,RB,0.2,DEN
J.J. Taylor,RB,0.2,HOU
Travis Homer,RB,0.0,CHI
Isaiah Davis,RB,0.0,NYJ
Ronnie Rivers,RB,0.0,LAR
Avery Williams,RB,0.0,ATL
Sione Vaki,RB,0.0,DET
Deuce Vaughn,RB,0.0,DAL
Keilan Robinson,RB,0.0,JAC
Terrell Jennings,RB,0.0,NE
Blake Watson,RB,0.0,DEN
Kenny McIntosh,RB,0.0,SEA
Jonathan Ward,RB,0.0,PIT
Dylan Laube,RB,0.0,LV
Jase McClellan,RB,0.0,ATL
Reggie Gilliam,RB,0.0,BUF
Aaron Shampklin,RB,0.0,PIT
Tyreik McAllister,RB,0.0,LV
Clyde Edwards-Helaire,RB,0.0,KC
Ja'Marr Chase,WR,15.5,CIN
A.J. Brown,WR,14.9,PHI
Justin Jefferson,WR,13.7,MIN
Amon-Ra St. Brown,WR,13.3,DET
Nico Collins,WR,13.3,HOU
Puka Nacua,WR,13.2,LAR
George Pickens,WR,13.0,PIT
Cooper Kupp,WR,13.0,LAR
Deebo Samuel Sr.,WR,12.9,SF
Garrett Wilson,WR,12.7,NYJ
Tyreek Hill,WR,12.7,MIA
Davante Adams,WR,12.7,NYJ
Terry McLaurin,WR,12.6,WAS
DK Metcalf,WR,12.5,SEA
Drake London,WR,12.4,ATL
Zay Flowers,WR,12.2,BAL
CeeDee Lamb,WR,11.7,DAL
Courtland Sutton,WR,11.4,DEN
Jayden Reed,WR,10.8,GB
Calvin Ridley,WR,10.8,TEN
Cedric Tillman,WR,10.7,CLE
DeAndre Hopkins,WR,10.6,KC
Jauan Jennings,WR,10.6,SF
DeVonta Smith,WR,10.5,PHI
Khalil Shakir,WR,10.5,BUF
Ladd McConkey,WR,10.3,LAC
Tee Higgins,WR,10.2,CIN
Jakobi Meyers,WR,10.1,LV
Darnell Mooney,WR,10.1,ATL
Tank Dell,WR,10.1,HOU
Jaxon Smith-Njigba,WR,9.6,SEA
Jameson Williams,WR,9.4,DET
Jaylen Waddle,WR,9.3,MIA
Josh Downs,WR,9.2,IND
Brian Thomas Jr.,WR,9.1,JAC
