Name,Position,Projection,Team
Josh Allen,QB,22.6,BUF
Jalen Hurts,QB,21.9,PHI
Joe Burrow,QB,20.4,CIN
Sam Darnold,QB,19.5,MIN
Baker Mayfield,QB,18.6,TB
Kyler Murray,QB,17.9,ARI
Patrick Mahomes II,QB,17.7,KC
Jordan Love,QB,17.4,GB
Tua Tagovailoa,QB,17.2,MIA
Jared Goff,QB,16.9,DET
Brock Purdy,QB,16.7,SF
Caleb Williams,QB,16.5,CHI
Justin Herbert,QB,16.4,LAC
Russell Wilson,QB,16.2,PIT
Geno Smith,QB,16.2,SEA
Will Levis,QB,15.9,TEN
Matthew Stafford,QB,15.7,LAR
Jameis Winston,QB,15.4,CLE
Cooper Rush,QB,15.1,DAL
Aidan O'Connell,QB,14.7,LV
Kirk Cousins,QB,14.4,ATL
Derek Carr,QB,14.1,NO
Aaron Rodgers,QB,13.7,NYJ
Mac Jones,QB,13.4,JAC
Bryce Young,QB,13.0,CAR
Drew Lock,QB,12.4,NYG
Justin Fields,QB,0.8,PIT
Trey Lance,QB,0.4,DAL
Tommy DeVito,QB,0.2,NYG
Hendon Hooker,QB,0.2,DET
Malik Willis,QB,0.2,GB
Michael Penix Jr.,QB,0.1,ATL
Desmond Ridder,QB,0.1,LV
Brandon Allen,QB,0.1,SF
Tyrod Taylor,QB,0.1,NYJ
Saquon Barkley,RB,22.2,PHI
Alvin Kamara,RB,21.1,NO
Chase Brown,RB,18.3,CIN
Bijan Robinson,RB,18.1,ATL
De'Von Achane,RB,18.1,MIA
Jahmyr Gibbs,RB,17.1,DET
Josh Jacobs,RB,16.5,GB
Bucky Irving,RB,16.3,TB
Zach Charbonnet,RB,15.9,SEA
James Cook,RB,15.5,BUF
Tony Pollard,RB,15.9,TEN
Kyren Williams,RB,15.2,LAR
James Conner,RB,14.9,ARI
Isaac Guerendo,RB,14.7,SF
Rico Dowdle,RB,14.6,DAL
Aaron Jones Sr.,RB,14.3,MIN
David Montgomery,RB,14.2,DET
Tyrone Tracy Jr.,RB,14.0,NYG
Najee Harris,RB,13.7,PIT
D'Andre Swift,RB,13.2,CHI
Rachaad White,RB,13.2,TB
Chuba Hubbard,RB,11.6,CAR
Jaylen Warren,RB,11.3,PIT
Braelon Allen,RB,12.0,NYJ
Isiah Pacheco,RB,11.0,KC
Travis Etienne Jr.,RB,9.6,JAC
Ameer Abdullah,RB,9.0,LV
Nick Chubb,RB,8.9,CLE
Sincere McCormick,RB,8.1,LV
Tank Bigsby,RB,7.5,JAC
Kareem Hunt,RB,8.1,KC
Gus Edwards,RB,7.7,LAC
Jerome Ford,RB,7.0,CLE
Tyjae Spears,RB,6.9,TEN
Jonathon Brooks,RB,6.7,CAR
Devin Singletary,RB,6.3,NYG
Ray Davis,RB,6.1,BUF
Cam Akers,RB,5.9,MIN
Kimani Vidal,RB,6.0,LAC
Kenneth Gainwell,RB,5.6,PHI
Isaiah Davis,RB,5.2,NYJ
Tyler Allgeier,RB,5.0,ATL
Jaylen Wright,RB,4.0,MIA
Chris Brooks,RB,4.9,GB
Trey Benson,RB,4.7,ARI
Blake Corum,RB,4.4,LAR
